Call Sign = ZSDA,	Ship Name = SA Agulhas,	Lloyds Num = 0
Date = 12/06/2016,	Time = 15:03,	
Latitude = 54 34.81  S,	Longitude = 000 00.21  W
Instr = Sippican Deep Blue,	Card Type = Sippican MK-21,	
Wind Instr = ,	Measur Method = 
Probe Serial Num = -1,	Ship Dir = -1,	Ship Speed = -1.00
Wind Dir = 124,	Wind Speed = 16.10
Dry Bulb Temp = -0.50,	Total Water Depth = -1.00

Full Resolution Values
Depth,	 Temp
741.56,	1.4800
742.18,	1.4800
742.79,	1.4800
743.41,	1.4800
744.03,	1.4800
744.65,	1.4800
745.26,	1.4800
745.88,	1.4800
746.50,	1.4800
747.11,	1.4800
747.73,	1.4700
748.35,	1.4800
748.96,	1.4800
749.58,	1.4800
750.20,	1.4800
750.81,	1.4700
751.43,	1.4700
752.05,	1.4700
752.66,	1.4700
753.28,	1.4800
753.90,	1.4800
754.51,	1.4800
755.13,	1.4800
755.74,	1.4700
756.36,	1.4700
756.98,	1.4700
757.59,	1.4800
758.21,	1.4700
758.82,	1.4800
759.44,	1.4800
760.06,	1.4800
760.67,	1.4800
761.29,	1.4800
761.90,	1.4700
762.52,	1.4700
763.14,	1.4700
763.75,	1.4700
764.37,	1.4700
764.98,	1.4700
765.60,	1.4700
766.21,	1.4700
766.83,	1.4700
767.44,	1.4700
768.06,	1.4700
768.67,	1.4700
769.29,	1.4700
769.90,	1.4700
770.52,	1.4700
771.14,	1.4700
771.75,	1.4700
772.37,	1.4700
772.98,	1.4700
773.59,	1.4700
774.21,	1.4700
774.82,	1.4700
775.44,	1.4700
776.05,	1.4700
776.67,	1.4700
777.28,	1.4700
777.90,	1.4600
778.51,	1.4600
779.13,	1.4600
779.74,	1.4600
780.36,	1.4600
780.97,	1.4600
781.58,	1.4600
782.20,	1.4600
782.81,	1.4500
783.43,	1.4500
784.04,	1.4500
784.66,	1.4500
785.27,	1.4500
785.88,	1.4400
786.50,	1.4400
787.11,	1.4400
787.73,	1.4400
788.34,	1.4400
788.95,	1.4400
789.57,	1.4400
790.18,	1.4400
790.79,	1.4400
791.41,	1.4400
792.02,	1.4400
792.63,	1.4400
793.25,	1.4300
793.86,	1.4300
794.47,	1.4300
795.09,	1.4300
795.70,	1.4300
796.31,	1.4300
796.93,	1.4300
797.54,	1.4300
798.15,	1.4300
798.77,	1.4300
799.38,	1.4300
799.99,	1.4200
800.61,	1.4200
801.22,	1.4200
801.83,	1.4200
